threads,selector_type,bucket,route,L,recall@10,avg_latency_ms,p95_latency_ms,qps,wall_seconds
1,range,u1e-01,graph,800,98.260002,15.844149414,16.674,61.828194,16.216543912887573
2,range,u1e-01,graph,800,98.260002,16.595248047000002,17.426,118.111015,8.502771854400635
3,range,u1e-01,graph,800,98.260002,16.905828125,17.364,173.70668,5.795062303543091
4,range,u1e-01,graph,800,98.260002,18.283841797,18.737,214.183243,4.709150075912476
5,range,u1e-01,graph,800,98.25,18.390818359,18.849,266.364838,3.793626546859741
6,range,u1e-01,graph,800,98.25,19.555787109,20.327,300.712982,3.3470029830932617
7,range,u1e-01,graph,800,98.25,20.335193359,21.034,337.45166,2.986649513244629
8,range,u1e-01,graph,800,98.260002,21.066962891,21.966,372.014954,2.7115588188171387
9,range,u1e-01,graph,800,98.260002,21.795806641,22.784,405.049103,2.4918458461761475
10,range,u1e-01,graph,800,98.260002,22.786019531,23.612,430.09256,2.367949962615967
11,range,u1e-01,graph,800,98.260002,23.265548828,23.992,463.91275,2.196723461151123
12,range,u1e-01,graph,800,98.25,24.158439453,25.296,487.427643,2.080500602722168
13,range,u1e-01,graph,800,98.260002,25.040111328,25.812,508.677673,2.010740280151367
14,range,u1e-01,graph,800,98.260002,25.715748047,26.398,534.262329,1.8998937606811523
15,range,u1e-01,graph,800,98.260002,26.280099609,27.285,559.848328,1.8160765171051025
16,range,u1e-01,graph,800,98.25,27.332160156,28.01,573.315369,1.7745180130004883
